state,BankAccountorServices,ConsumerLoan,CreditCard,CreditReporting,DebtCollection,MoneyTransfers,Mortgage,OtherFinancialService,PaydayLoan,PrepaidCard,StudentLoan,Total
AA,4,,1,,,,3,,,,2,10
AE,14,5,13,28,13,1,43,,,1,6,124
AK,51,11,71,75,86,4,106,,,,13,417
AL,396,157,359,526,671,9,926,2,32,1,88,3167
AP,6,3,13,15,22,,25,,,,4,88
AR,169,61,203,233,267,6,411,1,16,1,53,1421
AS,4,,2,3,1,,2,,,,,12
AZ,837,236,940,897,1155,39,3135,,34,12,161,7446
CA,5448,1159,5893,5996,6809,260,23863,20,210,68,976,50702
CO,631,168,850,780,866,21,2272,1,35,10,175,5809
CT,598,151,682,424,478,18,1638,1,10,2,160,4162
DC,331,62,280,278,275,15,602,2,16,1,110,1972
DE,265,101,295,193,263,8,647,,9,,41,1822
FL,3788,873,3794,3988,4562,143,14883,12,94,28,579,32744
FM,2,,2,3,1,,10,1,,,,19
GA,1562,487,1352,1761,2076,62,6916,1,61,19,342,14639
GU,7,2,5,3,6,1,10,,,,1,35
HI,101,44,176,168,211,5,511,,4,2,23,1245
IA,137,47,252,190,282,6,366,1,13,3,73,1370
ID,111,32,164,140,218,6,396,,11,,34,1112
IL,1647,349,1606,1549,1732,67,4254,2,61,6,480,11753
IN,405,114,475,592,697,15,1161,2,32,1,190,3684
KS,157,67,260,220,345,8,472,1,9,2,57,1598
KY,275,98,291,340,487,4,729,2,12,2,88,2328
LA,325,124,311,543,650,17,966,,52,1,94,3083
MA,1268,170,1183,683,725,56,2567,5,22,15,380,7074
MD,1327,390,1330,1168,1258,51,5128,,40,8,332,11032
ME,153,43,225,105,144,1,436,2,7,1,54,1171
MH,1,,3,3,5,,6,,,,,18
MI,1023,294,932,969,1221,32,4507,3,50,9,343,9383
MN,518,105,567,361,494,26,1678,2,18,6,165,3940
MO,395,181,534,541,825,24,1727,,38,1,184,4450
MP,4,,3,4,2,,2,,,,1,16
MS,145,86,184,244,291,5,464,1,17,,37,1474
MT,48,14,84,83,123,1,177,,2,1,27,560
NC,1105,354,1187,1256,1160,47,3962,1,55,6,222,9355
ND,23,10,35,64,63,,62,,,1,11,269
NE,141,44,169,90,200,8,342,,11,2,53,1060
NH,189,37,225,168,173,3,1070,,15,1,77,1958
NJ,2049,465,1927,1302,1735,60,5765,5,71,13,450,13842
NM,185,53,209,298,315,9,503,1,19,2,46,1640
NV,447,99,477,594,682,22,1427,,29,6,78,3861
NY,3627,609,4116,3006,2997,149,7761,14,50,13,948,23290
OH,1315,460,1594,1093,1738,62,3685,3,95,20,475,10540
OK,190,95,293,333,521,18,598,,30,3,70,2151
OR,464,96,489,498,673,16,1574,1,17,6,129,3963
PA,1811,433,1642,1573,1794,64,4045,4,81,16,636,12099
PR,98,24,164,193,86,3,120,,1,,13,702
PW,,1,1,2,,,3,,,,,7
RI,236,52,180,169,176,6,361,,28,1,38,1247
SC,385,180,445,635,818,15,1347,1,29,3,109,3967
SD,45,16,98,51,106,2,114,,3,,18,453
TN,569,217,646,661,939,17,1592,3,48,7,153,4852
TX,2273,884,2712,6361,4960,121,6121,11,215,26,493,24177
UT,144,45,234,239,366,8,681,,10,1,43,1771
VA,1147,409,1524,1812,1593,55,4047,2,70,11,322,10992
VI,17,,15,5,8,1,21,,,,,67
VT,80,27,87,62,68,4,235,,1,,36,600
WA,730,149,872,818,1088,40,3047,2,18,5,201,6970
WI,378,142,667,379,629,27,1405,,41,4,137,3809
WV,88,39,128,134,158,5,250,1,,1,62,866
WY,24,12,40,73,71,1,111,,4,,19,355
